UserId,Condition,Scenario,Direction,TimeStamp,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.73,25.63,1.613756,0.8683001,-0.9649621,-0.6455852,0.8683001,-0.1993461,359.2629,244.7329,0.058651,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.74,25.63,1.613781,0.8683515,-0.9649595,-0.6455614,0.8683515,-0.1993385,359.2675,244.7253,0.05896807,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.75,25.63,1.613818,0.8680812,-0.9647092,-0.6455756,0.8680812,-0.199086,359.2623,244.7242,0.0505742,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.77,25.63,1.613814,0.8680171,-0.9646844,-0.6455846,0.8680171,-0.1990625,359.2685,244.728,0.04670554,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.78,25.63,1.613877,0.8681233,-0.9648638,-0.6454867,0.8681233,-0.1992257,359.2707,244.7338,0.05884494,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.79,25.63,1.613866,0.8681213,-0.9648174,-0.6455063,0.8681213,-0.1991824,359.2714,244.736,0.06057591,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.80,25.63,1.613958,0.8680218,-0.9650925,-0.645362,0.8680218,-0.1994338,359.2737,244.7322,0.06629153,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.82,25.63,1.613971,0.8679103,-0.9649507,-0.6453773,0.8679103,-0.1992922,359.2734,244.7215,0.05877353,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.83,25.63,1.613987,0.8682033,-0.9650964,-0.6453329,0.8682033,-0.1994318,359.2753,244.7274,0.06260072,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.84,25.63,1.61397,0.8682557,-0.9651258,-0.6453436,0.8682557,-0.199464,359.2708,244.7223,0.06358187,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.85,25.63,1.613814,0.8681066,-0.9650185,-0.6455173,0.8681066,-0.1993898,359.266,244.7253,0.06633537,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.86,25.63,1.613729,0.8682305,-0.9648633,-0.645632,0.8682305,-0.1992547,359.2738,244.7252,0.06073831,FALSE,1,1.60404,1.00513,-1.029282
10,VRKinArm,Diamond,CounterClockWise,2022-12-21_10:42:43.87,25.63,1.613765,0.868178,-0.9648104,-0.6456066,0.868178,-0.1991955,359.2833,244.7189,0.06967446,FALSE,1,1.60404,1.00513,-1.029282
